meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
khafif_complete,LSLL,SLSL,SSLL,,LSLL,SLSL,LLL,,NNNNNNN
khafif_complete,SSLL,SLSL,LSLL,,SSLL,SLSL,LLL,,NNNNNNN
khafif_complete,SSLL,LLSL,SSLL,,SSLL,SLSL,LLL,,NNNNNNN
khafif_complete,LSLL,SLSL,SSLL,,SSLL,SLSL,LSLL,,NNNNNN
khafif_complete,LSLL,SLSL,LSLL,,LSLL,SLSL,SSLL,,NNNNNN
khafif_complete,LSLL,SLSL,SSLL,,LSLL,SLSL,LSLL,,NNNNNN
khafif_complete,LSLL,SLSL,LSLL,,LSLL,SLSL,LSLL,,NNNNNN
khafif_complete,LSLL,SLSL,LLL,,SSLL,LLSL,LSLL,,NNNNNNN
khafif_complete,SSLL,SLSL,SSLS,,LSLL,SLSL,LLL,,NNNNNNN
khafif_complete,LSLL,SLSL,LSLL,,SSLL,SLSL,SSLL,,NNNNNN
khafif_complete,LSLL,SLSL,LSLL,,LSLL,SLSL,LLL,,NNNNNNN
khafif_complete,LSLL,LLSL,LSLL,,SSLL,SLSL,LLL,,NNNNNNN
khafif_complete,SSLL,SLSL,LSLL,,SSLL,LLSL,LLL,,NNNNNNN
khafif_complete,SSLL,SLSL,SSLL,,LSLL,SLSL,LSLL,,NNNNNN
khafif_complete,LSLL,SLSL,SSLL,,LSLL,LLSL,LSLL,,NNNNNN
