meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
hazaj_complete,SLLS,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLS,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLS,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLS,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
wafir_partial,SLSSL,SLSSL,,,SLLL,SLLL,,,NNNNNNNNNNNN
hazaj_complete,SLLL,SLLS,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLS,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLS,SLLL,,,NNNNNNNNNNNNNN
