meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
motaqaarib_complete,SLL,SLS,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLL,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLS,SLL,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLS,SLL,SLL,SL,NNNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLS,SLL,SL,NNNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLL,SLL,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLL,SLL,SLL,SL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SLS,SLL,SLL,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLS,SLL,SLL,SL,NNNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLS,SLL,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SL,SLL,SLS,SLL,SL,NNNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLS,SLL,SL,NNNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SLS,SLS,SLL,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLL,SLL,SLL,SL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLL,SLS,SLL,SL,NNNNNNN
