meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
motaqaarib_partial,SLL,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLL,SLS,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLS,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLS,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
