meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
motaqaarib_partial,SLS,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLL,SLL,SLL,,NNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SLS,,SLS,SLL,SLL,,NNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SLS,,SLL,SLL,SL,,NNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SLS,,SLL,SLS,L,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLS,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLL,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
motaqaarib_partial,SLS,SLL,SL,,SLL,SLL,SL,,NNNNNNNNNNNNNN
