meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
kamil_complete,SSLSL,SSLSL,LLSS,,SSLSL,SSLSL,SSLSL,,N
kamil_complete,LLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLSL,,N
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,LLSL,,NNN
kamil_complete,LLSL,SSLSL,SSLSL,,SSLSL,LLSL,LLSL,,NNN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,LLSL,SSLSL,,NNN
kamil_complete,SSLSL,LLSL,SSLSL,,SSLSL,SSLSL,LLSL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLSL,,N
kamil_complete,LLSL,LLSL,SSLSL,,SSLSL,SSLSL,SSLSL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,LLSL,LLSL,,NNNN
kamil_complete,LLSL,SSLSL,LLSL,,LLSL,SSLSL,LLSL,,NNNN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLSL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLSL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,LLSL,,NNN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,LLSL,LLSL,,NNNN
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,SSLSL,LLSL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLSL,,NN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLSL,,
kamil_complete,LLSL,LLSL,SSLSL,,LLSL,SSLSL,SSLSL,,NNN
kamil_complete,SSLSL,SSLSL,LLSL,,LLSL,SSLSL,LLSL,,NNN
kamil_complete,LLSL,SSLSL,LLSL,,LLSL,SSLSL,LLSL,,NNNN
kamil_complete,SSLSL,LLSL,SSLSL,,LLSL,LLSL,LLSL,,NNNN
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,SSLSL,LLSL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLSL,,NN
kamil_complete,SSLSL,SSLSL,LLSL,,SSLSL,SSLSL,SSLSL,,N
kamil_complete,LLSL,SSLSL,SSLSL,,SSLSL,SSLSL,LLSL,,NN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLSL,,
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,LLSL,,NNN
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLSL,,N
kamil_complete,SSLSL,LLSL,SSLSL,,SSLSL,SSLSL,LLSL,,NN
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLSL,,N
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLSL,,N
kamil_complete,SSLSL,LLSL,SSLSL,,SSLSL,LLSL,SSLSL,,NN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,LLSL,LLSL,,NN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLSL,,
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLSL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLSL,,N
