meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
bassit_complete,LLSL,SSL,LLSL,LS,SLSL,LSL,LLSL,LL,NNNN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,LSL,LLSL,LL,NNN
bassit_complete,SLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,SLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,SLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,LSL,LLSL,SSS,LLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,LSL,LLSL,LL,NNN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,LSL,LLSL,LL,NNN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,LSL,LLSL,LL,NNN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,LSL,LLSL,LL,NNN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,LL,NNN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,LL,NNN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,LSL,LLSL,LL,NNN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,LSL,LLSL,LL,NNN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,LL,NNN
