meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
bassit_complete,SLSL,SSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LSSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,SLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,SLSL,SSL,LSSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,LSL,LSSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,SLSL,SSS,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LSSL,SSL,LLSL,SSL,LLSL,SSL,NN
